Sex,Age,Height,Team,NOC,Games,Game Type,Year,Date,Season,City,Sport,Event,Medal,Did Medal
M,31,185,Great Britain,GBR,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial,Bronze,1
F,26,174,Denmark,DEN,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Handball,Handball Women's Handball,Gold,1
F,30,166,China,CHN,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Hockey,Hockey Women's Hockey,Silver,1
M,24,181,China,CHN,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Badminton,Badminton Men's Doubles,Silver,1
M,28,181,China,CHN,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Badminton,Badminton Men's Doubles,Gold,1
M,32,181,China,CHN,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,Gold,1
F,20,179,China,CHN,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,Bronze,1
M,20,185,Germany,GER,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Hockey,Hockey Men's Hockey,Gold,1
M,24,185,Germany,GER,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze,1
F,25,169,Spain,ESP,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver,1
F,25,169,Spain,ESP,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,1
F,29,169,Spain,ESP,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver,1
F,29,169,Spain,ESP,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,1
M,31,183,Denmark,DEN,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",Silver,1
F,23,160,Japan,JPN,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Badminton,Badminton Women's Doubles,Silver,1
M,23,184,Japan,JPN,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,1
M,27,184,Japan,JPN,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,1
F,25,165,Japan,JPN,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,1
M,26,173,Japan,JPN,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze,1
F,27,160,Japan,JPN,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Softball,Softball Women's Softball,Gold,1
M,27,182,Japan,JPN,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze,1
F,23,156,Japan,JPN,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Table Tennis,Table Tennis Women's Team,Silver,1
